Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,Flag,Profit,Weight,,
A189,11178773432418665,12/1/20,20025038,L,12,A189,22.44,23.03,3.37,12.54,7.12,6.99,1,-0.59,1.68,,
A190,11426959633597842,12/1/20,20025046,L,12,A190,24.85,24.2,3.73,13.43,7.04,6.99,1,0.65,1.49,,
A191,11189398490692216,12/1/20,20025047,L,12,A191,46.48,47.22,6.97,27.26,12.99,10.99,1,-0.74,14.04,,
A192,11492592747449817,12/1/20,20025048,L,1,A192,13.61,12.53,2.04,6.09,4.4,5.75,1,1.08,0.53,,
A193,11415885235164222,12/1/20,20025049,L,1,A193,29.55,28.28,4.43,20.22,3.63,4.75,1,1.27,0.23,,
A194,11185473200138609,12/1/20,20025051,L,6,A194,36.95,38.98,5.54,22.65,10.79,9.5,1,-2.03,6,,
A195,11347394122935449,12/1/20,20025050,L,3,A195,56.97,58.45,8.55,41.31,8.59,6.99,1,-1.48,1.23,,
A196,11324650206411433,12/1/20,20025052,L,1,A196,26.19,24,3.93,11.82,8.25,6.99,1,2.19,0.95,,
A197,11336328844683445,12/1/20,20025055,L,1,A197,20.96,18.64,3.14,11.95,3.55,4.75,1,2.32,0.23,,
A198,11105418370831427,12/1/20,20025054,L,12,A198,90.7,90.85,13.61,65.89,11.35,6.99,1,-0.15,1.5,,
A199,11479655843721016,12/1/20,20025058,L,12,A199,40.32,39.73,6.05,25.5,8.18,9.5,1,0.59,6.08,,
A200,11452660916206649,12/1/20,20025059,L,1,A200,31.05,32.96,4.66,19.26,9.04,6.99,1,-1.91,1.5,,
A201,11178906164525033,12/1/20,20025060,L,10,A201,31.85,34.57,4.78,18.07,11.72,7.99,1,-2.72,3.62,,
A202,11329110890950611,12/1/20,20025061,L,1,A202,59.38,57.03,8.91,43.51,4.61,4.75,1,2.35,0.88,,
A203,11462005077593833,12/1/20,20025082,L,12,A203,89.69,95.9,13.45,68.04,14.41,9.99,1,-6.21,11.6,,
A204,11263094302222628,12/1/20,20025080,L,1,A204,14.22,17,2.13,6.62,8.25,5.75,1,-2.78,0.87,,
A205,11230765734726626,12/1/20,20025056,L,6,A205,31.19,31.24,4.68,15.27,11.29,9.99,1,-0.05,8,,
A206,11379700827085043,12/1/20,20025081,L,6,A206,24.95,25.01,3.74,13.02,8.25,6.99,1,-0.06,1.79,,
A207,11235066381905812,12/1/20,20025083,L,1,A207,12.49,12.43,1.87,6.12,4.44,4.75,1,0.06,0.4,,
A208,11195259766016267,12/1/20,20025053,L,1,A208,20.96,18.64,3.14,11.95,3.55,4.75,1,2.32,0.23,,
A209,11219469565918600,12/1/20,20025084,L,10,A209,33.54,33.76,5.03,18.13,10.6,9.5,1,-0.22,5.5,,
A210,11190188287761064,12/1/20,20025085,L,48,A210,59.05,39.69,8.86,20.8,10.03,8.75,1,19.36,4.96,,
A211,11421216912087414,12/1/20,20025086,L,12,A211,25.42,26.27,3.81,14.21,8.25,6.99,1,-0.85,1.5,,
